Week Of,Application ID,Event Name,Event Start Date,Event End Date,Users,Active Users,Adoption %
2016-01-11,AE7F1C25-2707-4217-8D13-3C8EA16D8528,2016 Consumer and Commercial Banking Summit,2016-01-13,2016-01-15,281,238,0.83985765124555160142
2016-01-11,75C3F84E-FDC8-49FB-AE00-8A09283D67D0,2016 DM Leadership Summit,2016-01-11,2016-01-13,77,77,1.00000000000000000000
2016-01-11,782A9474-D4FC-41E8-AFC8-5DCB4B9979EE,2016 LexisNexis Insurance Sales Meeting,2016-01-11,2016-01-14,213,97,0.45539906103286384977
2016-01-11,132848C2-4297-4D8F-8EB1-EDF7B8C8DEA8,2016 SYF National Sales Meeting,2016-01-12,2016-01-14,570,555,0.95964912280701754386
2016-01-11,2F840EE7-770E-407B-A5CC-B1A2B891F968,2016 TF Equity Trading Summit,2016-01-13,2016-01-14,240,133,0.55416666666666666667
2016-01-11,354CB1AC-E459-4C3E-BD9C-9C1F4B3D5898,2016 TF FX Trading Summit,2016-01-14,2016-01-15,106,77,0.72641509433962264151
2016-01-11,2B317E08-1D6A-40C7-9139-9BC8FE039A56,2016 TF Winter Workshop,2016-01-13,2016-01-14,106,69,0.65094339622641509434
2016-01-11,8AAB1A1A-734A-487D-BB60-DC81FC458267,2016 Western Regional Meeting,2016-01-15,2016-01-16,62,33,0.43548387096774193548
2016-01-11,CF41480E-047A-4FEF-947D-41B294A72AEA,2016 Winter Leadership Conference,2016-01-14,2016-01-16,426,377,0.88262910798122065728
2016-01-11,185624C4-D8BD-428C-841E-29B1AA4C9B81,2016 Year-Start Meetings,2016-01-11,2016-01-15,512,504,0.96093750000000000000
2016-01-11,8C6C963D-0F5D-4A18-B2ED-081A8A4B7014,ACR-RBMA Forum 2016,2016-01-15,2016-01-17,247,182,0.73684210526315789474
2016-01-11,D8660DEC-EEA4-45D8-9163-834C9B2ABF7B,AT&T Summit,2016-01-11,2016-01-13,26,42,0.92307692307692307692
2016-01-11,462C7E7C-D114-47FC-9E86-306CAE0BDE36,Beyond Security,2016-01-11,2016-01-12,50,24,0.48000000000000000000
2016-01-11,E01DEF6B-BBAA-4100-9428-C8D70AB25EB6,Buffalo Partners Verbier Trip,2016-01-13,2016-01-17,23,20,0.86956521739130434783
2016-01-11,1537429C-5F6F-46C3-A0CD-1442EE1E4708,CDCA 2016 Annual Meeting,2016-01-13,2016-01-16,440,339,0.77045454545454545455
2016-01-11,06C5828F-375B-433C-A1A0-AA2703E1FEB9,Cetera CA Connect 2016,2016-01-11,2016-01-14,708,334,0.47175141242937853107
2016-01-11,2FA5B40B-83F8-4C92-B375-68691978A36A,Cox Automotive Sales Summit 2016,2016-01-11,2016-01-15,1869,1590,0.85018726591760299625
2016-01-11,2B022E85-703F-44E3-AF82-C3933AC387BD,FDP/ADP Finance Leadership Conference,2016-01-11,2016-01-13,113,25,0.21238938053097345133
2016-01-11,FD152C02-844D-48B7-AB38-8F9A07FA37C9,Find and Flip Summit,2016-01-15,2016-01-17,165,103,0.61212121212121212121
2016-01-11,FF8F7DFE-B602-4A90-8AF0-8EFD9784F0B1,Genesys Sales Kickoff 2016,2016-01-16,2016-01-22,907,809,0.89195148842337375965
2016-01-11,B8D435B5-EC68-4A22-A7D3-6E563747CED8,Global Aftermarket Solutions Division,2016-01-11,2016-01-14,244,76,0.31147540983606557377
2016-01-11,9CCC20A8-AC73-4EFB-A3BA-660AE62AA74F,Global Innovation Summit,2016-01-14,2016-01-14,299,97,0.32441471571906354515
2016-01-11,8F4B330E-B0E8-419E-9F7E-B8DFD1BB0E3A,HCB SKO 2016,2016-01-17,2016-01-20,183,153,0.78688524590163934426
2016-01-11,8C921E03-2DF7-4DFA-ACB4-0B3CFA13A845,Indy Celebration 2016,2016-01-16,2016-01-21,1678,760,0.44696066746126340882
2016-01-11,99102FF9-FF25-4BC9-8EAC-BE7C4CBEE90A,International Banking Investor Day,2016-01-17,2016-01-19,88,67,0.69318181818181818182
2016-01-11,B1CE64FD-DBA5-4193-B5E7-A323AF91C6F3,Jump Start 1/11/16,2016-01-11,2016-01-11,80,61,0.76250000000000000000
2016-01-11,9D1CDC80-C0D4-4DF8-8C5E-B71E3C2CE08F,Jump Start 1/12/16,2016-01-12,2016-01-12,79,53,0.67088607594936708861
2016-01-11,F855BB44-F384-4160-B242-14DBA711F868,MAFSI Conference Repnology and SMF,2016-01-13,2016-01-16,577,368,0.63431542461005199307
2016-01-11,73F97B90-3050-463C-BDF2-96DE1A91ED39,Manulife Asia Leadership Conference,2016-01-17,2016-01-19,208,193,0.92788461538461538462
2016-01-11,800AE80D-C1B2-4F4D-9387-0A7087F7CE37,Murphy USA 2016 National Manager Meeting/Expo,2016-01-17,2016-01-20,1856,879,0.47359913793103448276
2016-01-11,059FCBD8-AB3B-45D2-9EFD-CF0B58CD5BA9,NAVEX Global 2016 Global Sales Meeting,2016-01-11,2016-01-13,157,144,0.91082802547770700637
2016-01-11,D431AE1A-810C-49A9-9169-DDC67AA8F050,New Lawyer Academy,2016-01-14,2016-01-17,258,68,0.26356589147286821705
2016-01-11,D984A8E9-2989-4B65-8060-0B396D982AB0,NFLPA Collegiate Bowl 2016,2016-01-17,2016-01-24,215,177,0.82325581395348837209
2016-01-11,B22B1DF8-E4E1-474A-8B4B-449EF7C294C5,Nielsen Global Leadership Meeting,2016-01-12,2016-01-14,280,266,0.95000000000000000000
2016-01-11,FE519502-8170-49F7-BABE-0E97D879E12F,NSM 2016,2016-01-11,2016-01-15,0,589,
2016-01-11,67C13CB3-BC4F-46F2-A152-94FA1BE81DFC,Oncology National POA,2016-01-11,2016-01-15,855,731,0.85497076023391812865
